last_score,study_duration,total_reviews,last_gap_days,days_until_next_revision
82.45,5.53,4,19.56,20.06
72.93,6.32,6,3.39,13.32
84.72,18.53,3,6.81,11.15
97.85,10.12,3,6.03,13.78
71.49,8.53,5,3.37,13.57
71.49,31.09,6,1.36,14.93
98.69,31.58,8,3.57,20.2
86.51,52.21,3,5.71,11.22
67.96,16.22,4,3.08,12.71
83.14,5.0,3,0.43,8.51
68.05,9.59,4,0.09,11.0
68.01,117.37,4,1.99,12.16
78.63,27.21,5,0.81,12.76
46.3,37.11,3,11.83,13.86
49.13,5.0,2,0.97,7.24
66.57,21.91,5,2.51,9.99
59.81,5.0,6,6.23,12.82
79.71,25.27,1,8.45,11.14
61.38,76.06,6,3.25,15.5
53.82,103.66,6,1.0,12.75
96.98,23.33,5,1.58,14.07
71.61,18.39,3,2.71,7.63
76.01,87.02,3,2.27,15.78
53.63,33.59,4,2.14,12.28
66.83,5.0,3,0.71,9.21
76.66,18.81,3,12.23,14.87
57.74,8.24,1,0.15,3.67
80.64,19.04,6,2.9,12.83
65.99,18.23,5,19.64,20.75
70.62,26.18,6,5.39,14.37
65.97,13.24,4,2.2,9.42
100.0,5.38,6,0.79,12.36
74.8,21.02,5,16.6,20.27
59.13,53.19,3,0.07,7.81
87.34,32.72,4,5.72,14.57
56.69,12.39,2,10.61,12.03
78.13,82.24,1,0.13,7.19
45.6,72.98,5,6.46,18.21
55.08,7.05,3,30.0,23.61
77.95,5.0,7,5.1,15.14
86.08,40.56,8,2.68,19.01
77.57,52.74,7,10.37,20.36
73.27,103.13,6,4.04,14.39
70.48,66.17,1,6.92,7.45
52.82,27.53,3,4.43,10.5
64.2,22.65,2,0.2,7.73
68.09,5.0,6,1.2,11.52
90.86,8.5,6,0.41,15.34
80.15,18.46,7,0.56,15.52
48.55,29.71,2,0.08,7.76
79.86,24.44,7,2.73,17.9
69.22,40.72,1,0.98,5.89
64.85,9.85,3,9.68,15.2
84.18,24.97,3,6.93,10.9
90.46,5.0,2,4.26,13.32
88.97,16.02,2,3.36,8.08
62.41,41.61,1,1.48,5.98
70.36,35.47,3,3.22,9.37
79.97,120.0,7,5.13,18.5
89.63,9.77,7,7.62,23.34
67.81,20.69,2,0.43,6.25
72.22,11.99,1,6.16,9.67
58.4,17.43,3,6.79,10.75
57.06,58.34,6,4.09,16.28
87.19,34.58,9,1.21,18.22
95.34,64.22,2,3.87,11.16
73.92,6.83,2,3.49,9.5
90.05,61.99,4,3.23,12.07
80.42,5.0,4,3.09,15.78
65.32,65.84,2,0.59,8.68
80.42,11.97,6,1.01,13.39
98.07,11.33,4,0.51,10.3
74.46,21.53,2,1.39,7.91
98.47,84.75,6,1.53,14.28
35.7,5.0,3,1.41,9.74
87.33,13.03,3,1.18,10.32
76.31,58.26,3,6.65,12.48
70.51,15.13,5,8.53,17.11
76.38,6.66,2,1.98,6.84
45.19,16.59,6,1.82,10.71
71.7,14.61,3,9.29,12.78
80.36,74.1,3,4.89,12.39
97.17,43.06,1,1.74,8.74
67.23,21.1,4,6.25,10.62
62.87,120.0,7,2.11,16.02
67.47,18.78,4,4.42,7.27
88.73,5.0,1,24.55,16.52
79.93,9.13,1,1.79,7.62
67.05,17.18,2,13.33,14.75
82.7,5.12,4,1.93,9.47
76.46,88.45,8,3.89,18.75
89.53,43.68,3,3.08,11.28
64.47,9.37,4,7.64,14.82
70.09,26.81,3,0.32,10.9
69.12,38.34,4,4.93,12.79
53.05,85.05,2,7.15,10.25
79.44,64.02,4,3.19,10.47
78.92,21.72,3,0.56,9.25
75.08,44.7,7,1.4,18.81
71.48,24.78,3,5.69,13.27
53.77,24.14,5,11.29,16.5
68.69,5.0,3,2.74,9.84
69.86,5.0,1,4.11,6.1
62.97,22.62,6,1.3,12.64
72.58,9.39,7,2.66,15.84
81.06,5.0,5,2.05,12.89
100.0,38.49,4,5.33,15.82
77.62,5.0,1,20.9,17.36
78.86,27.14,8,8.39,21.37
73.88,23.24,4,1.07,9.12
46.22,104.03,1,4.31,6.26
74.6,19.86,3,0.34,7.4
75.9,5.0,3,1.42,9.44
100.0,24.07,3,0.95,7.33
72.11,55.18,3,2.04,10.04
79.52,120.0,3,5.68,15.43
74.48,16.88,5,3.46,14.24
57.47,11.58,9,13.51,22.79
